,Datetime,Tweet Id,Username,Text,Retweet,Like,Quote,Reply,Media,Language,Outlinks,Source,Status
0,2022-08-17 06:36:30+00:00,1559791260369424384,sonyjraj,"#MacewanAuthor Research article on Hindu Gods as animation characters in modern day animation and gaming industry published by Peter Lang from Germany is recently getting more citations, references and impact scores on databases. MacEwan University Author. https://t.co/sp9gNZYhkd https://t.co/mnhMpKcqr4",0,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/FaV94kIUcAESRxj?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FaV94kIUcAESRxj?format=jpg&name=large')]",en,['https://www.academia.edu/17418308/Dr_Sony_Jalarajan_Raj_and_Nithin_Kalorth_Reverence_to_Recreation_Indian_Epic_goes_to_Video_Games'],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1
1,2022-08-16 18:19:06+00:00,1559605688027922432,DadsonMichael,"Michael Dadson,University of British Columbia  publications. #Michaeldadson #Drmichaeldadson #Mikedadson #Drmikedadson 
https://t.co/Hti4F8V68W - https://t.co/M33QfY150B",0,0,0,0,,en,"['http://Academia.edu', 'https://go.shr.lc/3vV7WHp']","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1
2,2022-08-16 14:22:03+00:00,1559546029900455936,redmonds_arthur,"Contemporary Understanding 

No excavation as far as I know, but the castle has been surveyed multiple times and a 2014 write up by Dr Rachel Swallow of the 1995 survey by Chester University is available here.

https://t.co/PkGyIMVTJX

3 / 5⭐️⭐️⭐️(No excavation)",0,1,0,1,,en,['https://www.academia.edu/8978823/_Palimpsest_of_Border_Power_The_Archaeological_Survey_of_Dodleston_Castle_Cheshire_in_Cheshire_History_Journal_No_54_2014_5_Cheshire_Local_History_Association_2014_'],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1
3,2022-08-15 16:35:37+00:00,1559217257674317824,AyodeleOtaiku,"https://t.co/nV51MNhpWE
Late Prof. B.A Oso, Dept. of Botany and Microbiology, University of Ibadan, Nigeria (2007) research was foresight into agriculture and environmental biotechnology.
Huetz Research Limited 
+234 803 3721 219 
Ayodele Otaiku | DPA, DBA",0,0,0,0,,en,['https://www.academia.edu/video/jWmPzl'],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1
4,2022-08-15 08:22:50+00:00,1559093245426147329,KresySiberia,"""Ruthenia (Lithuania-Rus),"" in Europe: A Literary History, 1348-1418. Edited by David Wallace. Oxford University Press, 2016, Volume 2, pp. 420-439. https://t.co/27TctVHtLI via @academia",0,3,0,0,,en,['https://www.academia.edu/26072728/_Ruthenia_Lithuania_Rus_in_Europe_A_Literary_History_1348_1418_Edited_by_David_Wallace_Oxford_University_Press_2016_Volume_2_pp_420_439'],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1
5,2022-08-15 06:46:35+00:00,1559069019709345792,DrPehar,"@Logic_Cognition @ESSLLI_official @CarcassiFausto @ERC_Research https://t.co/OpoP0gstw7
may be of some interest - forthcoming with the Croatian University Press (hopefully)",0,2,0,0,,en,['https://www.academia.edu/44518181/LANGUAGE_AS_A_COLLECTIVE_BODY_MAKER_A_NATURALIST_PERSPECTIVE'],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1
6,2022-08-15 02:22:22+00:00,1559002528309604352,DMPritchardUQ,I just uploaded 'Research Seminars in Classics and Ancient History at the University of Queensland …' to @academia! https://t.co/b8iN4WAk6o,1,2,0,0,,en,['https://www.academia.edu/84744684/CAH_Serminar_Timetable_Sem_2_2022'],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1
7,2022-08-14 18:32:25+00:00,1558884264141283328,MyShtender,"@ShlomoFelber See Eric Lawee, *Rashi’s ‘Commentary on the Torah’: Canonization and Resistance in the Reception of a Jewish Classic* (New York: Oxford University Press, 2019), frontmatter here (https://t.co/Khp70ROAU4), especially the Introduction and its footnotes.",0,5,0,0,,en,['https://www.academia.edu/38717316/Eric_Lawee_Rashi_s_Commentary_on_the_Torah_Canonization_and_Resistance_in_the_Reception_of_a_Jewish_Classic_New_York_Oxford_University_Press_2019_'],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1
8,2022-08-14 16:43:16+00:00,1558856793748414466,StaryiSambir,"Taras Shevchenko National University of Kyiv 
Educational and Scientific Institute of Journalism 
Київський національний університет імені Тараса Шевченка Навчально-науковий інститут журналістики 

Issue 31 - Виписк 31 - 2022 https://t.co/wIFu0F9ML3",0,0,0,0,,und,['https://lnkd.in/gEwxV8fE'],"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>",1
9,2022-08-14 13:21:58+00:00,1558806134663831553,drfarvolden,Evaluating a Web-Based Social Anxiety Intervention Among University Students: Randomized Controlled Trial https://t.co/F8fTfNNgLT via @academia,0,0,0,0,,en,['https://www.academia.edu/36239967/Evaluating_a_Web_Based_Social_Anxiety_Intervention_Among_University_Students_Randomized_Controlled_Trial'],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1
